region,activeCases,recovered,death,totalInfected
Meghalaya,1888,74246,1337,77471
Mizoram,12304,55438,229,67971
Nagaland,707,29144,634,30485
Odisha,6332,999165,8070,1013567
Puducherry,986,121631,1819,124436
Punjab,319,584146,16449,600914
Rajasthan,82,945125,8954,954161
Sikkim,862,29146,376,30384
Tamil Nadu,16180,2576112,35073,2627365
Telangana,5497,651085,3889,660471
Tripura,676,81999,803,83478
Uttarakhand,349,335413,7389,343151
Uttar Pradesh,214,1686417,22863,1709494
West Bengal,8288,1527109,18531,1553928
